text,category,acronym,description
Wise Mind,mindfulness,,"Integration of 'emotion mind' and 'reasonable mind.' Allows intuition. Find it in the belly, the center of your head, or by following your breath."
"Observe: Just Notice",mindfulness,,"Have teflon mind. Control your attention, cling to nothing. Be alert, Step inside and observe. Watch thoughts come and go. Notice what flows through your senses."
"Describe: Put Words On, Just the Facts",mindfulness,,"When a thought arises, or you do something, acknowledge it. Label experiences by putting a name on your feelings. Describe and identify what is, just the facts."
"Participate: Enter into the Experience",mindfulness,,"Enter into present experiences. Throw yourself completely into the activities of the current moment. Become one with whatever you are doing. Act intuitively from wise mind. Go with the flow."
Nonjudgmental,mindfulness,,"Be aware but don't evaluate. Sort opinions from facts. Accept each moment. Acknowledge the helpful and the harmful (but don't judge it). Don't judge your judging."
"One-mindfully: Present Moment",mindfulness,,"Be completely present to this one moment. Notice the desire to be half-present. Do one thing at a time. Let go of distractions and go back to what you're doing. Concentrate your mind."
"Effectively: Focus on What Works",mindfulness,,"Do what needs to be done. Play by the rules - consider the context. Act skillfully within the given situation. Keep an eye on your objectives (and do what is necessary). Let go of: vengeance, useless anger, and righteousness."
"DEAR",IE,DEAR,"Describe the current situation. Express your feelings and opinions about the situation. Assert yourself by asking for what you want or saying no clearly. Reinforce or reward the person ahead of time: explain consequences."
"MAN",IE,MAN,"Mindfully keep your focus on your objectives: don't be distracted. Appear confident and effective: good eye contact, no stammering. Negotiate: be willing to give to get."
"GIVE",IE,GIVE,"Gentle: be courteous and temperate in your approach; no attacks, threats, or judging. Interested: listen; be interested in the other person. Validate: validate the other person's feelings, wants, difficulties, and opinions about the situation. Easy Manner: Use a little humor; smile; be diplomatic; soft sell over hard sell"
"FAST",IE,FAST,"be Fair to yourself and to the other person. no Apologetic dramatization. No apologizing for being alive, or making a request at all. No apologies for having an opinion or disagreeing. Stick to your own values. Be clear on what you believe is the moral way to act or think. Truthful. Don't lie, act helpless, exaggerate, and no excuses."
"Walk the Middle Path; Dialectics",IE,,"There is always more than one side to anything that exists. Look for both sides. Be aware that you are connected. Embrace change. Change is transactional: Remember that you affect your environment and your environment affects you."
"Validation",IE,,"Find the kernel of truth in another person's perspective or situation. Verify the facts. Acknowledge that a person's emotions, thoughts, and behaviors have causes and are therefore understandable. Not necessarily agreeing with the other person. Not validating what is actually invalid."
"Strategies to Change Behavior",IE,,"Reinforcer = A consequence that increases frequency of a behavior. Positive Reinforcement = positive consequences (i.e., reward). Negative reinforcement = removal of negative events (i.e., relief). Shaping = Reinforcing small steps toward the behavior you want. Timing counts."
"Check the Facts",ER,,"Describe the problem prompting your emotions. What makes the situation a problem? What are the facts about the problem or situation?"
"Opposite Action",ER,,"Acting opposite to your emotional urge. Works best when: 1. The emotion or the intensity or the duration of the emotion is NOT JUSTIFIED. 2. It is done ALL THE WAY. Identify emotion, action urges, if not justified, act opposite."
